month_num,is_canceled,month_name
1,0.2211804815682932,January
2,0.23204329288291242,February
3,0.24357779848263011,March
4,0.30462822458270106,April
5,0.29228007181328547,May
6,0.3031551835157759,June
7,0.3179874714129462,July
8,0.3218441858399218,August
9,0.24544095665171897,September
10,0.23680415344678396,October
11,0.21101101101101102,November
12,0.26856363282011303,December
