market_segment,count,cancel_rate
Online TA,51618,0.35346197063040025
Offline TA/TO,13889,0.14853481172150623
Direct,11804,0.14715350728566587
Groups,4942,0.27013354917037635
Corporate,4212,0.12108262108262108
Complementary,702,0.12535612535612536
Aviation,227,0.19823788546255505
Undefined,2,1.0
