,is_canceled,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,agent,company,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests
lead_time,0.18480558777334355,1.0,0.13913488799316318,0.10115044253157852,0.009866427450043444,0.2351452151800054,0.3101289814585665,0.1404927716703671,0.02863771297372686,-0.003613726502823397,-0.147003008288961,0.0053745731377223115,-0.07893139988192262,0.07702799132048027,0.023698170019130837,0.143629813298238,0.1321519223895102,0.02356422769190418,-0.08654079439202562,0.0342398862581844
arrival_date_year,0.08803011106055988,0.13913488799316318,1.0,-0.514227830100945,-0.010022845332771806,0.0051435813932703515,0.00364529450596196,0.038618809073738325,0.041136735701572814,-0.023334150045581866,0.02434272416892174,-0.0542121072164028,0.027255759229771314,0.008604393326563025,-0.020110257683460808,0.250193963840263,-0.027939254413248002,0.176088386334272,-0.03980663255379579,0.06426832953587462
arrival_date_week_number,0.0014431879657727598,0.10115044253157852,-0.514227830100945,1.0,0.09359395917258702,0.02686777930352619,0.027801222027846018,0.024361606966724726,0.013455762870159642,0.014260202286458688,-0.036859773324147006,0.0071985186831707145,-0.02081944220917782,0.0119022011018468,0.017685056591438448,-0.09383843354674569,0.013843180723049039,0.09827932173685833,0.00894623477883928,0.046599020174224515
arrival_date_day_of_month,0.005327631904828528,0.009866427450043444,-0.010022845332771806,0.09359395917258702,1.0,-0.01780274509687508,-0.028189984496491734,-0.0011251769557268523,0.0158065887932486,-0.00039334465444858425,-0.004177656074050321,-0.008538286292817134,0.00015187918076089684,0.006306771745046937,0.008830213956433469,0.031916329500205336,0.006588340495163571,0.02259092163929536,0.009167156018411275,-0.0016507143148845342
stays_in_weekend_nights,0.060190831562554316,0.2351452151800054,0.0051435813932703515,0.02686777930352619,-0.01780274509687508,1.0,0.5555519377911462,0.0882843530648642,0.02855832582693409,0.013667666439285549,-0.10694818186065311,-0.02063573873623816,-0.05665286824897179,0.050316233058768436,0.12683824258495072,0.05021128835201467,-0.03168035753906737,0.038972433995002706,-0.042920180464555646,0.0323963242021035
stays_in_week_nights,0.08292794686139211,0.3101289814585665,0.00364529450596196,0.027801222027846018,-0.028189984496491734,0.5555519377911462,1.0,0.0955769677498832,0.030477427561873154,0.01600865440463124,-0.11354312253977088,-0.018781423334152055,-0.05850290760969569,0.08504390961098714,0.16501379520031295,0.14748550187590473,0.0019048201101929372,0.05329819954561582,-0.04430311876514234,0.03782285748845314
adults,0.08181605438544493,0.1404927716703671,0.038618809073738325,0.024361606966724726,-0.0011251769557268523,0.0882843530648642,0.0955769677498832,1.0,0.023721052054369068,0.016640173379947203,-0.17171403419645295,-0.042097363879185896,-0.12091351335414562,-0.048061443306141746,-0.036651421592581085,0.21650180536090471,-0.015739621957362303,0.24899934124006856,0.00780233306914425,0.11277228147214434
children,0.06739595380173026,0.02863771297372686,0.041136735701572814,0.013455762870159642,0.0158065887932486,0.02855832582693409,0.030477427561873154,0.023721052054369068,1.0,0.017421732251978895,-0.045653986429722175,-0.01920878161528574,-0.02942501505525904,0.03130777757179546,0.028049742097911612,0.03865656253262542,-0.020419649267717686,0.3262901925301921,0.036328061023237115,0.04460610346087104
babies,-0.02054271494275681,-0.003613726502823397,-0.023334150045581866,0.014260202286458688,-0.00039334465444858425,0.013667666439285549,0.01600865440463124,0.016640173379947203,0.017421732251978895,1.0,-0.012977243785938513,-0.005394846309146616,-0.009192515270628277,0.08103461918667018,0.03521863417319732,0.024803666664545896,-0.006839608073299109,0.023445598289713737,0.030884598153731957,0.09482023588109074
is_repeated_guest,-0.08964285482016715,-0.147003008288961,0.02434272416892174,-0.036859773324147006,-0.004177656074050321,-0.10694818186065311,-0.11354312253977088,-0.17171403419645295,-0.045653986429722175,-0.012977243785938513,1.0,0.20637433365116295,0.44145569636127213,0.0060471984117245175,0.05093926896644017,-0.25981107955925403,-0.012815825409083286,-0.1530404785976325,0.07201910659406265,-0.0013207380883240737
previous_cancellations,0.051467648018743775,0.0053745731377223115,-0.0542121072164028,0.0071985186831707145,-0.008538286292817134,-0.02063573873623816,-0.018781423334152055,-0.042097363879185896,-0.01920878161528574,-0.005394846309146616,0.20637433365116295,1.0,0.3920640834740248,-0.010268537545853067,-0.015145623828948407,-0.19070726742593214,0.0036817539145190424,-0.050267189215698456,-0.003399025946703782,0.0018706463723042125
previous_bookings_not_canceled,-0.05215366627727607,-0.07893139988192262,0.027255759229771314,-0.02081944220917782,0.00015187918076089684,-0.05665286824897179,-0.05850290760969569,-0.12091351335414562,-0.02942501505525904,-0.009192515270628277,0.44145569636127213,0.3920640834740248,1.0,0.005420182831728139,0.022848749552273583,-0.22405278484257113,-0.006303562353607869,-0.08572145934826414,0.040871730659368034,0.02711222090784541
booking_changes,-0.09364363911868362,0.07702799132048027,0.008604393326563025,0.0119022011018468,0.006306771745046937,0.050316233058768436,0.08504390961098714,-0.048061443306141746,0.03130777757179546,0.08103461918667018,0.0060471984117245175,-0.010268537545853067,0.005420182831728139,1.0,0.054959029306427265,0.13232868477814644,0.024203826752220364,0.002551809313924932,0.04871756707932461,0.016115000746684257
agent,-0.0443586029604436,0.023698170019130837,-0.020110257683460808,0.017685056591438448,0.008830213956433469,0.12683824258495072,0.16501379520031295,-0.036651421592581085,0.028049742097911612,0.03521863417319732,0.05093926896644017,-0.015145623828948407,0.022848749552273583,0.054959029306427265,1.0,0.42519309745272893,-0.020985846687874222,-0.048062202724817454,0.1865625855867515,-0.00329473487396628
company,0.009040103253523755,0.143629813298238,0.250193963840263,-0.09383843354674569,0.031916329500205336,0.05021128835201467,0.14748550187590473,0.21650180536090471,0.03865656253262542,0.024803666664545896,-0.25981107955925403,-0.19070726742593214,-0.22405278484257113,0.13232868477814644,0.42519309745272893,1.0,0.026060230626354527,0.10876856565471846,-0.0016045037305034828,-0.10156021829258635
days_in_waiting_list,0.004464395430353216,0.1321519223895102,-0.027939254413248002,0.013843180723049039,0.006588340495163571,-0.03168035753906737,0.0019048201101929372,-0.015739621957362303,-0.020419649267717686,-0.006839608073299109,-0.012815825409083286,0.0036817539145190424,-0.006303562353607869,0.024203826752220364,-0.020985846687874222,0.026060230626354527,1.0,-0.03300135883089223,-0.016067444236358874,-0.04954451703890495
