feature,importance
f0,0.11789206662231148
f52,0.10266486787978256
f15,0.06775545238926506
f16,0.06389477740027452
f14,0.048614053452682084
f59,0.041892794718328616
f2,0.0282383653910365
f3,0.026188945757971028
f1,0.025590787268801856
f88,0.02357890211582872
f17,0.02226976433162397
f99,0.020791796627239498
f58,0.018956419416729695
f12,0.01846245792779589
f5,0.018390481566369885
f20,0.01633928921041018
f21,0.016162936323507206
f63,0.015198698210193066
f95,0.014850094575399405
f10,0.01450413619046822
f92,0.013959121642143864
f86,0.013340890320296575
f100,0.013295450018376233
f48,0.012587189125151464
f82,0.010741294215322002
f4,0.010491974158957995
f73,0.010073912493118724
f81,0.008998642533564234
f18,0.007980735557911059
f47,0.007868475831076567
f23,0.007797432828241426
f65,0.0076527552768408495
f56,0.007371922179260619
f62,0.0072170784774794865
f22,0.007039911985849308
f54,0.0068284449414089485
f11,0.006727366664960707
f45,0.006436667254132783
f76,0.0060662826967475105
f6,0.005463016952703683
f46,0.004671877409332388
f93,0.004417423598963552
f68,0.0041858539871361304
f36,0.003967980944026932
f9,0.0031128525596882052
f57,0.003028500427205244
f38,0.002950561345058438
f98,0.0028377498247307326
f25,0.002817327775894113
f29,0.0027279354023951215
f7,0.0027041220036910793
f49,0.0026210182274311786
f90,0.002544739359707879
f87,0.002458961166575923
f30,0.002208217717606546
f55,0.002178402167564619
f32,0.002153636857318774
f19,0.0020868858174437023
f31,0.0020828138975267714
f61,0.0020017983612351208
f24,0.0019482604351167413
f77,0.001865234897727692
f37,0.0018493344817695518
f34,0.0018283181041497446
f35,0.0017529444381317498
f89,0.0017475084859246183
f41,0.0017285885619017474
f97,0.0017043048472395706
f27,0.001675856606333151
f96,0.0016533931373830123
f50,0.0016103326764466876
f78,0.001532008487026539
f26,0.0015134221984349709
f69,0.0015044532347083636
f42,0.0014716295537246598
f51,0.0012232042617968681
f33,0.0012231504051100532
f74,0.0011193639556757022
f28,0.001114524160525947
f94,0.0009828655174534966
f66,0.0009049801837265877
f43,0.000860029812004068
f53,0.000854337737652578
f75,0.0008262307193623367
f84,0.0007965849757370589
f79,0.0007621281742925746
f70,0.0007243788002302184
f44,0.0006846484828045313
f40,0.0006770536794688588
f80,0.000622606820050193
f91,0.000609016509584987
f71,0.0005493978946105591
f60,0.00048568395728326605
f39,0.0003066688290025707
f85,0.00029618079418847356
f67,0.00028875420107775444
f8,0.00021730989916059104
f64,0.00021702232709420015
f101,0.00013220719708684247
f72,0.00012744050534953483
f83,7.432867355532706e-05
f13,0.0
