mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.86639723777771,0.062381355903203504,0.1299771785736084,0.006184901227567673,,,1,2,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.6393421559809842,0.6278200335181127,0.6379753340184995,0.6305699481865285,0.6403587443946188,0.6352132432197487,0.005047236609649283,52,0.9959223617680639,0.9962497961845752,0.9967394848386045,0.9963154977338681,0.9961180884031968,0.9962690457856617,0.00027085759082820033
3.2443222522735597,0.2891293955762326,0.1454624652862549,0.01575779666087958,,,1,10,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.6421122112211222,0.6292884795087438,0.6384113021458083,0.6277114967462039,0.6354470681878482,0.6345941115619453,0.005428451337726858,53,0.8935744311736838,0.893628473390298,0.8935798319327731,0.888760885033714,0.8944743799993307,0.89280360030596,0.0020499845329463935
3.071118402481079,0.19521167485164023,0.1428682327270508,0.018867400298237587,,,1,30,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.6546666666666666,0.6484079870480303,0.6564185544768069,0.6482647728795391,0.6570474281897127,0.6529610818521512,0.0038560952571688747,48,0.8058908577384755,0.7998108235930005,0.8102733492871347,0.8068729903536977,0.8031517273890497,0.8051999496722717,0.0035285605322712544
2.764983081817627,0.1377193955009652,0.1408984661102295,0.026319608604174875,,,5,2,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.6474973375931843,0.6394101876675603,0.6482075976457999,0.6349378042184964,0.6478537360890302,0.6435813326428141,0.005424018581881644,50,0.8443464019519369,0.8439918260694784,0.8433167317270157,0.8443356690247091,0.846606982394249,0.8445195222334778,0.0011087317800980879
3.0207937717437745,0.36472670440276206,0.16746153831481933,0.027750177875711976,,,5,10,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.6474973375931843,0.6394101876675603,0.6482075976457999,0.6349378042184964,0.6478537360890302,0.6435813326428141,0.005424018581881644,50,0.8443464019519369,0.8439918260694784,0.8433167317270157,0.8443356690247091,0.846606982394249,0.8445195222334778,0.0011087317800980879
3.3245600700378417,0.14018985428156402,0.13757781982421874,0.021019674255237687,,,5,30,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 30}",0.6672008547008547,0.6584406779661017,0.6613785557986871,0.6469082581166644,0.6622836441701329,0.6592423981504881,0.00678119669589463,45,0.7864866680099403,0.7816068653287385,0.7838915198800722,0.7869778704513352,0.7838294993234101,0.7845584845986993,0.001962632770214814
2.87136492729187,0.2980135930382262,0.139595365524292,0.02459500775026034,,,10,2,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 10, 'model__min_samples_split': 2}",0.6590141796083727,0.6561522773623385,0.6576243321002877,0.6427009294696555,0.6588709677419354,0.6548725372565178,0.00617250019741185,46,0.7813351498637602,0.7830098414434117,0.7825136612021858,0.784438862108765,0.7846462995129594,0.7831887628262164,0.0012337599027371182
2.9445337772369387,0.3732605533266763,0.1553555965423584,0.03330237695898576,,,10,10,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 10, 'model__min_samples_split': 10}",0.6590141796083727,0.6561522773623385,0.6576243321002877,0.6427009294696555,0.6588709677419354,0.6548725372565178,0.00617250019741185,46,0.7813351498637602,0.7830098414434117,0.7825136612021858,0.784438862108765,0.7846462995129594,0.7831887628262164,0.0012337599027371182
3.3512203693389893,0.09515903927979501,0.17239975929260254,0.018475926641211636,,,10,30,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 10, 'model__min_samples_split': 30}",0.6684592632428072,0.6641294005708849,0.6634026927784578,0.6466206149261817,0.6639795781270993,0.6613183099290862,0.0075676242442138325,43,0.7696274682771256,0.7681065391838825,0.7703738888511908,0.7727594220470849,0.7708064844332904,0.7703347605585149,0.001521070060000993
2.1970309734344484,0.183591524632053,0.159621524810791,0.01538805462424454,,5,1,2,"{'model__class_weight': None, 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.5721436984687868,0.5767997668318274,0.57019245114128,0.5834195359834491,0.5631439505445982,0.5731398805939883,0.006762609244331031,64,0.5767267653214849,0.5686734427938493,0.5764300886252106,0.5724477787584584,0.5776058931860036,0.5743767937370013,0.003359011174901602
2.199883794784546,0.19471486559866452,0.17421774864196776,0.038321124846493373,,5,1,10,"{'model__class_weight': None, 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.5721436984687868,0.5767997668318274,0.57019245114128,0.5834195359834491,0.5631439505445982,0.5731398805939883,0.006762609244331031,64,0.5767267653214849,0.5686734427938493,0.5764300886252106,0.5724477787584584,0.5776058931860036,0.5743767937370013,0.003359011174901602
