threshold,precision,recall,f1
0.05,0.3280510393084997,0.995213319458897,0.49344752863481584
0.1,0.359573502722323,0.9895941727367326,0.5274834988074768
0.15,0.38933311351084,0.9829344432882414,0.557746811525744
0.2,0.4158115463549567,0.9698231009365245,0.582063452410692
0.25,0.43866844715757347,0.9571279916753382,0.6016089999345935
0.3,0.459993884415452,0.9392299687825182,0.6175424192665572
0.35,0.48302216399170217,0.9207075962539022,0.6336293325694643
0.39999999999999997,0.5073486184597296,0.8980228928199792,0.6483846731780616
0.44999999999999996,0.530757498729029,0.8690946930280957,0.6590389016018307
0.49999999999999994,0.5592602970019613,0.8308012486992716,0.6685087498953362
0.5499999999999999,0.586131157828679,0.7775234131113423,0.6683960998300384
0.6,0.6155339805825243,0.7257023933402705,0.6660936007640879
0.65,0.6435663627152989,0.6609781477627471,0.6521560574948665
0.7,0.6706081081081081,0.5783558792924037,0.6210749804447424
0.75,0.6930810171496156,0.4878251821019771,0.5726151215341395
0.7999999999999999,0.7077331311599697,0.38855359001040585,0.5016794303372296
0.85,0.7489247311827957,0.2899063475546306,0.4180045011252813
0.9,0.7966985230234579,0.19084287200832467,0.3079247817327065
0.95,0.9152542372881356,0.11238293444328824,0.20018535681186284
