model,model_name,source,f1,precision,recall,balanced_accuracy,accuracy,roc_auc,pr_auc,log_loss,confusion_matrix
logreg,Logistic Regression,pipeline_eval,0.6685087498953362,0.5592602970019613,0.8308012486992716,0.7912980602470717,0.7735125858123569,0.8658408421536573,0.6932890410732025,0.46162506997746555,"[[9529, 3146], [813, 3992]]"
knn,KNN,pipeline_eval,0.6015260220931556,0.6642354124748491,0.5496357960457856,0.7221551761294016,0.7998283752860412,0.8419386035667153,0.6930789470141696,0.47071807681009903,"[[11340, 1335], [2164, 2641]]"
dt,Decision Tree,pipeline_eval,0.684160552438498,0.5845132743362832,0.8247658688865764,0.8012586740882586,0.7906750572082379,0.8751447764594328,0.7281464072627848,1.0364687734010156,"[[9858, 2817], [842, 3963]]"
rf,Random Forest,pipeline_eval,0.50859291084855,0.7166099129776768,0.39417273673257025,0.6675400172814725,0.7906178489702517,0.8774750414078037,0.7172674887482928,0.40397157821383883,"[[11926, 749], [2911, 1894]]"
