feature,importance_mean,importance_std
feature_16,0.05741217924243254,0.007824108729794206
feature_52,0.03863355425104777,0.004305538507930556
feature_0,0.0255161380590065,0.0058868723599691435
feature_1,0.02068602049283339,0.0057657418589209565
feature_15,0.019358454740018006,0.002982021496220937
feature_10,0.018064466889312313,0.0014615891529089272
feature_94,0.017314493721621284,0.003446486489950184
feature_12,0.015022799213241279,0.003750692820395218
feature_14,0.01281548418348597,0.005728257924316584
feature_73,0.012479056348539764,0.0031036427422878607
feature_47,0.011591017068455866,0.0029372909844608414
feature_36,0.01118574226987703,0.004269355965481942
feature_65,0.006833720498007789,0.003996176420050185
feature_48,0.006580799943999715,0.002502206248800568
feature_18,0.006554275717665092,0.002509116223367218
feature_86,0.006323599493502097,0.0008869364974263737
feature_76,0.005231784385113669,0.002614864495454405
feature_38,0.004991967147224408,0.0014156856635004944
feature_35,0.004727919561548078,0.0017206484641219904
feature_17,0.00462496776083079,0.00540685672314572
feature_46,0.004509613347017693,0.003070930084243672
feature_21,0.004508591992967515,0.003902918956830139
feature_7,0.0043908316338141075,0.0022654147902675505
feature_37,0.003706129950348469,0.0030415932585667422
feature_92,0.0033252733828657453,0.0008310420184784461
feature_19,0.003095645189232088,0.0018216794964919702
feature_28,0.003081117154247237,0.0012721148972394522
feature_50,0.003061157530229974,0.0015085057839064537
feature_6,0.003060190198064938,0.0022943930655775022
feature_22,0.002951165269509959,0.0020878481728259075
feature_9,0.0027245991912343338,0.0014069993801590973
feature_42,0.0026804871683806077,0.0004760306599420598
feature_96,0.002547280933182883,0.001540046865198197
feature_49,0.0022888604455952198,0.0017932211711968562
feature_68,0.0022787018462098185,0.0028183725550236034
feature_43,0.0021815639105396967,0.0003821238141666265
feature_85,0.0016765843968425287,0.0005606854260110427
feature_87,0.0016117277607156089,0.0004967941250637669
feature_51,0.001343548557844443,0.0004040462150178441
feature_100,0.001330851467173555,0.0014960960591216465
feature_2,0.0011959523236106274,0.0047524221142897375
feature_101,0.0011114429154613914,0.0024143653311068853
feature_33,0.0011025912590446163,0.0007050083155507891
feature_31,0.001061652026246307,0.001522310267570833
feature_88,0.0009795499909224681,0.0005911463313063485
feature_40,0.0008613509184234758,0.0004022640394867313
feature_70,0.0008561978632772415,0.0005992888565946194
feature_55,0.0007808708164932954,0.00034193643300958683
feature_97,0.000675831714886499,0.0003384741842306849
feature_61,0.0005949315569350854,0.0005474803663356843
feature_93,0.0005391562346305445,0.0009261825999662903
feature_32,0.0004904275952210879,0.002873153300637725
feature_11,0.00042190828525570103,0.0014693590761184637
feature_84,0.000402618617915329,0.0002545391044543483
feature_44,0.000389985727654274,0.00039330273616814147
feature_75,0.00027259170947890876,0.0003602619808795726
feature_39,0.00024163397360132954,0.00019729331328146598
feature_67,0.00017966225708638818,0.00044075109734994687
feature_66,0.00017959770114945873,0.0005821593583261038
feature_77,0.00016630465610238953,0.0006412083012179616
feature_74,0.00016077448319533615,0.0004838976122804261
feature_98,0.00015421424727706244,0.0007179284816402217
feature_90,3.7065274442893424e-05,0.0004025427538322491
feature_89,3.6814445143340534e-05,0.0004606039063552838
feature_41,1.8596752072919108e-05,0.000783730836312401
feature_3,8.804516387450611e-06,0.0038299362585942046
feature_95,6.509037667323802e-06,0.0011844097646765538
feature_83,0.0,0.0
feature_13,0.0,0.0
feature_102,0.0,0.0
feature_78,-6.7862292388420896e-06,0.0003232479042067397
feature_69,-3.1781143271025766e-05,0.0008676785925126781
feature_99,-4.398047353679768e-05,0.0004789085018111038
feature_63,-6.457791011478253e-05,0.0005591822203099801
feature_91,-8.064953372368677e-05,0.00016129906744737353
feature_64,-8.064953372368677e-05,0.00016129906744737353
feature_45,-9.502972743440364e-05,0.0016946608864396877
feature_80,-0.00012437936724383203,0.00044520031101975724
feature_62,-0.00015670573783306275,0.0009781939507729842
feature_60,-0.00016140394330395048,0.0003224146181368106
feature_56,-0.000293578632531788,0.0024491467686630977
feature_79,-0.0003299269435832919,0.0003831051322443952
feature_72,-0.00040324766861843386,0.0
feature_58,-0.0005411487139034942,0.0018703939548729998
feature_23,-0.0006956030477411667,0.0020180537693312217
feature_5,-0.0008610950724221133,0.0023124714957553642
feature_82,-0.0009783806970327547,0.00016142773866643088
feature_54,-0.0009954324373154578,0.0030982460235221276
feature_57,-0.0009966320062925638,0.001065552334474001
feature_8,-0.0011396494496577424,0.0010145700577754025
feature_71,-0.0011482327214987543,0.000760919046719094
feature_27,-0.0012383034941545023,0.001385769066508027
feature_81,-0.0012558007664183134,0.0009142096072977871
feature_4,-0.0014454594486817296,0.003262996585684407
feature_24,-0.0017702229363489419,0.0019194372415995695
feature_29,-0.002065148737706135,0.001923810534750897
feature_59,-0.0020727639993744383,0.00480904360171929
feature_20,-0.002280998617331531,0.006517742251726838
feature_26,-0.0025498154107129077,0.000569802450387248
feature_30,-0.002625001284836426,0.0011813463913934819
feature_34,-0.002776106389464483,0.0006868620333216433
feature_53,-0.0028158448615904553,0.0007412995689713503
feature_25,-0.004058014720255421,0.001598430285821822
