feature,importance
feature_52,0.20362981254632886
feature_0,0.1639970233296536
feature_15,0.08426055041222667
feature_16,0.08388159404001351
feature_59,0.07220171182956123
feature_1,0.04688006384659527
feature_14,0.03333758383623156
feature_2,0.02920273147540839
feature_92,0.02530110902271305
feature_3,0.02404659704368719
feature_100,0.02017515531245898
feature_94,0.017750178872439352
feature_56,0.01741776705634265
feature_12,0.015700070059087846
feature_96,0.01396420793879596
feature_82,0.013612569721018717
feature_10,0.012003291701179591
feature_17,0.010327554040719457
feature_87,0.010274193742585862
feature_11,0.0099212589541309
feature_21,0.008614885903595736
feature_86,0.005547029894691464
feature_5,0.0055462844272054475
feature_73,0.005329946635158509
feature_4,0.0049566779716053175
feature_20,0.002587868413768469
feature_18,0.0025556378426412757
feature_45,0.0025358214431997783
feature_47,0.002511320383511909
feature_95,0.002387254887724533
feature_99,0.0023667556002901643
feature_57,0.002249454596181609
feature_65,0.0022013784703345703
feature_9,0.0019447727284706959
feature_93,0.0019002443255712199
feature_68,0.0017363011133556456
feature_46,0.0016933720990941364
feature_29,0.0016904545041568797
feature_6,0.0016805484881183535
feature_85,0.001539757015116896
feature_41,0.0015051045685995662
feature_24,0.0013363501475019439
feature_76,0.0013193322898456027
feature_38,0.001284341950357276
feature_34,0.0012477057449756038
feature_64,0.001244392697890356
feature_54,0.0012332220351922545
feature_74,0.001216968159576341
feature_66,0.0011260209955087823
feature_36,0.0011115874512747583
feature_32,0.0011008081729114653
feature_42,0.0010752712630805196
feature_101,0.001041861090624356
feature_25,0.0009865946455289187
feature_7,0.0009623552837913762
feature_58,0.0009581912447859801
feature_77,0.000898813458639701
feature_19,0.0007971674521309672
feature_30,0.000794043355792274
feature_22,0.0007771497475887112
feature_35,0.0006960890039833717
feature_49,0.0006927104455255464
feature_97,0.0006692194766551887
feature_51,0.0005812943227263397
feature_69,0.0005570178334931828
feature_37,0.0005298384538535017
feature_31,0.0004495328371528014
feature_27,0.00040690923364517846
feature_48,0.00038051245272020383
feature_28,0.0003782191512168037
feature_50,0.000374760813847735
feature_40,0.00037377044070216497
feature_63,0.00034530255739321093
feature_33,0.0002765674438750954
feature_91,0.0002732734247700968
feature_89,0.00024483289390644507
feature_78,0.00020758952170985944
feature_62,0.0001669792847713465
feature_71,0.0001585311865480286
feature_43,0.000137459244986283
feature_55,0.00013041799616978525
feature_53,0.00011095811677455909
feature_23,0.00010997880307564045
feature_98,7.784258527682172e-05
feature_88,7.568668951347895e-05
feature_61,5.7450698693096456e-05
feature_39,1.8904577290893393e-05
feature_80,1.525406201595078e-05
feature_75,1.2586789983880782e-05
feature_72,1.243637715569695e-05
feature_13,0.0
feature_26,0.0
feature_8,0.0
feature_60,0.0
feature_44,0.0
feature_70,0.0
feature_67,0.0
feature_79,0.0
feature_81,0.0
feature_83,0.0
feature_84,0.0
feature_90,0.0
feature_102,0.0
