model__C,model__class_weight,model__max_iter,model__solver,cv_f1_mean,cv_f1_std
10.0,balanced,2000,liblinear,0.6666416774758309,0.0014600919259185516
1.0,balanced,2000,liblinear,0.6661250794849979,0.0013013739513450275
0.1,balanced,2000,liblinear,0.6649131187934335,0.0016277574344547227
10.0,,2000,liblinear,0.600625621524485,0.004701485338955194
1.0,,2000,liblinear,0.5998857598260442,0.004372997779498642
0.1,,2000,liblinear,0.5979713226075593,0.004696158846536975
