feature,coefficient,abs_coefficient
f15,-3.0126553433802847,3.0126553433802847
f17,-2.8943182480219076,2.8943182480219076
f5,2.370301634868779,2.370301634868779
f52,1.9875876743030556,1.9875876743030556
f65,-1.8281096508040013,1.8281096508040013
f73,1.6582756200258877,1.6582756200258877
f79,-1.6443240775662267,1.6443240775662267
f94,1.618887706234064,1.618887706234064
f71,1.5617380768146423,1.5617380768146423
f82,1.561336815878547,1.561336815878547
f86,1.53033917948099,1.53033917948099
f81,-1.477725255953542,1.477725255953542
f80,-1.4532622844570473,1.4532622844570473
f2,1.2584303617158157,1.2584303617158157
f72,1.239335928623022,1.239335928623022
f4,1.1882637615344296,1.1882637615344296
f66,-1.0475696907556482,1.0475696907556482
f20,-1.038951650341843,1.038951650341843
f74,1.0318848791340394,1.0318848791340394
f90,-0.8872437167696029,0.8872437167696029
f89,-0.8497098361085781,0.8497098361085781
f78,-0.7892616605645103,0.7892616605645103
f92,-0.7708046862657993,0.7708046862657993
f75,0.695340859605577,0.695340859605577
f64,0.6377729629951575,0.6377729629951575
f62,-0.6112677108400411,0.6112677108400411
f45,-0.6097615329465328,0.6097615329465328
f16,-0.603701694067986,0.603701694067986
f85,0.6000800416138096,0.6000800416138096
f40,-0.5866633239130588,0.5866633239130588
f70,0.5817805978825489,0.5817805978825489
f41,-0.573218325845698,0.573218325845698
f100,0.5673499697079386,0.5673499697079386
f68,-0.5550785671197446,0.5550785671197446
f10,0.5446855970008807,0.5446855970008807
f84,-0.5385026105206364,0.5385026105206364
f51,-0.5108192406004783,0.5108192406004783
f99,-0.5099759349509744,0.5099759349509744
f58,-0.49041124876319697,0.49041124876319697
f67,-0.4893530769145329,0.4893530769145329
f88,0.48622376586113913,0.48622376586113913
f96,-0.46968496252010844,0.46968496252010844
f98,-0.46476883284598475,0.46476883284598475
f83,-0.4524773022039535,0.4524773022039535
f87,-0.4483699403122702,0.4483699403122702
f0,0.44765140354206145,0.44765140354206145
f11,-0.4427907390705082,0.4427907390705082
f91,-0.4252592593566278,0.4252592593566278
f42,0.4190619565040202,0.4190619565040202
f46,0.39945503928485815,0.39945503928485815
f47,-0.37915976021331477,0.37915976021331477
f76,0.3653724670019691,0.3653724670019691
f56,-0.36172074551264016,0.36172074551264016
f1,0.35489105131191656,0.35489105131191656
f49,-0.3392464215236771,0.3392464215236771
f29,-0.3320481737856059,0.3320481737856059
f60,0.31812820776935774,0.31812820776935774
f101,-0.2862892623820981,0.2862892623820981
f48,-0.2772406840130967,0.2772406840130967
f23,-0.2751792895917476,0.2751792895917476
f43,-0.2727714113759391,0.2727714113759391
f25,-0.24938367442887832,0.24938367442887832
f77,-0.23289154547629023,0.23289154547629023
f50,0.22473534713937968,0.22473534713937968
f12,-0.22251438690895659,0.22251438690895659
f61,-0.2123045589577343,0.2123045589577343
f30,-0.19260597354491651,0.19260597354491651
f9,-0.19133421610433626,0.19133421610433626
f57,0.1888675901347244,0.1888675901347244
f63,-0.18306643551932505,0.18306643551932505
f59,-0.17500833427652246,0.17500833427652246
f69,0.16839063996834114,0.16839063996834114
f95,-0.16542294644419533,0.16542294644419533
f24,0.16258794358250145,0.16258794358250145
f54,0.15304204340379152,0.15304204340379152
f55,0.15127878833239078,0.15127878833239078
f27,0.1417456435252435,0.1417456435252435
f102,-0.13995051470424755,0.13995051470424755
f14,0.1372722104439946,0.1372722104439946
f39,-0.13661158295721668,0.13661158295721668
f7,-0.13589693547390022,0.13589693547390022
f28,0.1354569171282163,0.1354569171282163
f44,-0.13511372136414085,0.13511372136414085
f53,0.1312466188866708,0.1312466188866708
f36,-0.127913797785542,0.127913797785542
f37,-0.1272526086059024,0.1272526086059024
f18,0.12043547916555525,0.12043547916555525
f19,0.11998434821640443,0.11998434821640443
f26,-0.10014521373351885,0.10014521373351885
f97,0.09590309053456883,0.09590309053456883
f22,-0.09368645269126703,0.09368645269126703
f3,-0.08833784716443531,0.08833784716443531
f31,0.06271314349009081,0.06271314349009081
f6,-0.0577207954820313,0.0577207954820313
f33,-0.057675977886816644,0.057675977886816644
f93,-0.04939847716436895,0.04939847716436895
f21,0.0448433686699664,0.0448433686699664
f32,0.03255140137320894,0.03255140137320894
f34,0.031150091417868574,0.031150091417868574
f38,0.022912247049105633,0.022912247049105633
f35,-0.0032118693987863104,0.0032118693987863104
f8,0.0016446082009095146,0.0016446082009095146
f13,0.0,0.0
